Variable,Importance
perimeter_worst,0.14110699126672774
area_worst,0.1393603956514476
concave points_mean,0.10471651207699464
concave points_worst,0.09734695772576694
radius_worst,0.0775990044391776
concavity_mean,0.06143713365384049
radius_mean,0.05522058047065708
perimeter_mean,0.04520955654632237
concavity_worst,0.03892493613488497
area_mean,0.03842024221103876
area_se,0.025432087083277988
compactness_mean,0.019181186747836244
radius_se,0.01824208049080035
texture_worst,0.017933109608261964
compactness_worst,0.014896303044909433
texture_mean,0.013865157247145384
symmetry_worst,0.013555065531599166
smoothness_worst,0.01285464377660596
concavity_se,0.007600919472906673
perimeter_se,0.007113648550702837
smoothness_mean,0.007022321485676028
fractal_dimension_worst,0.00596741976023804
fractal_dimension_se,0.0055496616915760195
texture_se,0.005464737537035604
compactness_se,0.004887028585924513
symmetry_mean,0.004882897843171473
concave points_se,0.004861137013923021
smoothness_se,0.004554451366669103
symmetry_se,0.0036097382968084415
fractal_dimension_mean,0.0031840946880736
